id,postcode,lat,lon
1659853,B8 1EA,52.486061180000000,-1.857908023000000
1659854,B8 1EB,52.486468260000000,-1.860042023000000
1659855,B8 1ED,52.486156170000000,-1.862222484000000
1659856,B8 1EE,52.485742450000000,-1.862061788000000
1659857,B8 1EG,52.487360390000000,-1.861850564000000
1659858,B8 1EH,52.487685000000000,-1.861938000000000
1659859,B8 1EJ,52.485418080000000,-1.853948819000000
1659860,B8 1EP,52.484887220000000,-1.853582430000000
1659861,B8 1ER,52.485229000000000,-1.853713830000000
1659862,B8 1ES,52.486199890000000,-1.853695889000000
1659863,B8 1ET,52.487708350000000,-1.852203498000000
1659864,B8 1EU,52.488650970000000,-1.851140000000000
1659865,B8 1EX,52.487816770000000,-1.852630210000000
1659866,B8 1EY,52.486407040000000,-1.854004454000000
