id,postcode,lat,lon
398225,SA80 8AA,51.6480,-3.9240
398226,SA80 8AB,51.6480,-3.9240
398227,SA80 8AD,51.6479,-3.9252
398228,SA80 8AE,51.6480,-3.9240
398229,SA80 8AF,51.6480,-3.9240
398230,SA80 8AG,51.6479,-3.9252
398231,SA80 8AH,51.6480,-3.9236
id,postcode,lat,lon
2950,SA80,51.647958,-3.924033
